名称,第一语言,第二语言
switchin_light,合闸,
remote_light,远程,
run_light,运行,
airpress_light,风压,
fault_light,故障,
fix_light,检修,
totaloutput_param,累计排量,
overpressureprotection_param,超压保护,
PCSP_param,PCSP,
reset_btn,复位,
outputset_btn,排量设定,
parset_btn,参数设置,
supporteuip_btn,辅助设备,
intermission_oilbump,间歇油泵,
lubricating_oil_pump,润滑油泵,
frequency_converter_fan,变频器风机,
motor_fan,电机风机,
oil_heat,油箱加热器,
supplyoil_fan1,供油风机1,
supplyoil_fan2,供油风机2,
work_para,工作,
intermission_para,间歇,
equiptitle,辅助设备,
on,启动,
off,停止,
full_bump_param_name5,排量设定,
full_bump_param_name34,间歇油泵工作间歇设定,
full_bump_param_name35,间歇油泵间歇泵冲设定,
txt_correction coefficient,校正系数,
txt_Offset,偏移量,
txt_High fault value,高故障值,
txt_low fault value,低故障值,
beng_check,泵的检修,
beng_check_1,检泵前准备,
beng_check_2,拆卸检修排出阀体,
beng_check_3,拆卸检修吸入阀体,
beng_check_4,拆卸检修吸入排出阀座,
beng_check_5,拆卸检修柱塞盘根,
beng_setup,泵的安装,
beng_setup_1,安装柱塞盘根,
beng_setup_2,安装吸入和排出阀座,
beng_setup_3,安装吸入阀体,
beng_setup_4,安装排出阀体,
connect,装表接电,
connect_1,三相三线制高供高计,
connect_2,三相四线制高供低计,
