编号,步骤,item编号,检查状态,检查条件,中文描述,中文语音,英文描述,英文语音
45,23,5142,5142&5153&4&hard&yellow,,连接电表C相电流信号Ic：C相电流互感器1S1至接线盒C相电流槽，电线使用4平方毫米，黄色单芯线,debug_s44_step_c 23,,
46,23,5153,5142&5153&4&hard&yellow,,,,,
47,24,5107,5107&5131&4&hard&yellow,,连接电表C相电流信号Ic：接线盒C相电流槽至电表7#接点，电线使用4平方毫米，黄色单芯线,debug_s44_step_c 24,,
48,24,5131,5107&5131&4&hard&yellow,,,,,
49,25,5109,5109&5117&4&hard&yellow,,连接电表至采集终端C相电流信号Ic：电表9#接点至终端7#接点，电线使用4平方毫米，黄色单芯线,debug_s44_step_c 25,,
50,25,5117,5109&5117&4&hard&yellow,,,,,
51,26,5119,5119&5132&4&hard&yellow,,连接采集终端至接线盒C相电流信号Icn：终端9#接点至接线盒C相电流槽，电线使用4平方毫米，黄色单芯线,debug_s44_step_c 26,,
52,26,5132,5119&5132&4&hard&yellow,,,,,
53,27,5143,5143&5154&4&hard&yellow,,连接接线盒至电流互感器C相电流信号Icn：C相电流互感器1S2至接线盒C相电流槽，电线使用4平方毫米，黄色单芯线,debug_s44_step_c 27,,
54,27,5154,5143&5154&4&hard&yellow,light,,,,
55,28,5150,5137&5150&4&hard&yellow&5150&5155&4&hard&blue,,连接A相电流互感器接地线PE：A相电流互感器1S2至接地点，电线使用4平方毫米，蓝色单芯线,debug_s44_step_c 28,,
56,28,5155,5150&5155&4&hard&blue,light,,,,
57,29,5152,5140&5152&4&hard&yellow&5152&5155&4&hard&blue,,连接B相电流互感器接地线PE：B相电流互感器1S2至接地点，电线使用4平方毫米，蓝色单芯线,debug_s44_step_c 29,,
58,29,5155,5150&5155&4&hard&blue&5152&5155&4&hard&blue,light,,,,
59,30,5154,5143&5154&4&hard&yellow&5154&5155&4&hard&blue,,连接C相电流互感器接地线PE：C相电流互感器1S2至接地点，电线使用4平方毫米，蓝色单芯线,debug_s44_step_c 30,,
60,30,5155,5150&5155&4&hard&blue&5152&5155&4&hard&blue&5154&5155&4&hard&blue,,,,,
